Format, Traqmate Trackvision, V2
Track, Portland
Vehicle, CORRADO
Driver, DJ
Starting Date, 18/08/2019
Starting Time, 16:45:16.000
Sample Rate (samps/sec), 40
Duration (secs),   2449.500
Analogs, Point Name, Units, Low Value, High Value, AlarmValue
A0 Disabled
A1 Disabled
A2 Disabled
A3 Disabled
Digitals, Point Name, On Name, OffName
D4
D5
GPS Reading, GPS Time, GPS Weeks, Elapsed Time, Lat (Degrees), Lon (Degrees), Lat (feet), Lon (feet), Altitude (feet), Temperature (degrees F), EastVel, NorthVel, VertVel, Velocity (MPH), Heading(Deg), XGs, YGs, RPMs, D4, D5, A0, A1, A2, A3, Gear, Brake (calc), Accel (calc), Lap
0,79202500,2067,886.675000,45.594106,-122.691357,-804.771583,710.500190,6,-9.000000,-39.000000,16.000000,0.000000,95.324099,157.098926,-0.125448,0.102888,5435,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202500,2067,886.700000,45.594110,-122.691370,-803.408089,707.281895,6,-9.000000,-39.000000,16.000000,0.000000,95.392889,157.098926,-0.118280,0.101083,5452,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202500,2067,886.725000,45.594114,-122.691382,-802.045656,704.060411,6,-9.000000,-39.000000,16.000000,0.000000,95.457748,157.098926,-0.118280,0.101083,5458,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
1,79202750,2067,886.750000,45.594118,-122.691397,-800.519905,700.422136,6,-9.000000,-39.000000,16.000000,0.000000,96.331456,157.561037,-0.087814,0.074007,5452,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202750,2067,886.775000,45.594122,-122.691409,-799.166186,697.159691,6,-9.000000,-39.000000,16.000000,0.000000,96.379609,157.561037,-0.179211,0.144404,5464,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202750,2067,886.800000,45.594126,-122.691422,-797.807940,693.897214,6,-9.000000,-39.000000,16.000000,0.000000,96.477880,157.561037,-0.075269,0.104693,5470,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202750,2067,886.825000,45.594129,-122.691435,-796.453954,690.629068,6,-9.000000,-39.000000,16.000000,0.000000,96.519154,157.561037,-0.145161,0.095668,5475,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202750,2067,886.850000,45.594133,-122.691448,-795.102008,687.358438,6,-9.000000,-39.000000,16.000000,0.000000,96.598753,157.561037,-0.173835,0.120939,5475,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202750,2067,886.875000,45.594137,-122.691461,-793.748854,684.085151,6,-9.000000,-39.000000,16.000000,0.000000,96.694076,157.561037,-0.077061,0.036101,5481,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202750,2067,886.900000,45.594140,-122.691473,-792.402933,680.805104,6,-9.000000,-39.000000,16.000000,0.000000,96.736333,157.561037,-0.173835,0.115523,5481,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202750,2067,886.925000,45.594144,-122.691486,-791.051189,677.525776,6,-9.000000,-39.000000,16.000000,0.000000,96.831655,157.561037,-0.066308,0.090253,5487,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202750,2067,886.950000,45.594148,-122.691499,-789.702151,674.241555,6,-9.000000,-39.000000,16.000000,0.000000,96.868016,157.561037,-0.120072,0.083032,5505,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202750,2067,886.975000,45.594151,-122.691512,-788.354826,670.955191,6,-9.000000,-39.000000,16.000000,0.000000,96.933857,157.561037,-0.120072,0.083032,5511,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
1,79203000,2067,887.000000,45.594155,-122.691526,-786.897291,667.434886,6,-8.000000,-39.000000,16.000000,0.000000,96.999699,157.409399,-0.071685,0.016245,5517,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203000,2067,887.025000,45.594159,-122.691539,-785.529818,664.151623,6,-8.000000,-39.000000,16.000000,0.000000,97.039007,157.409399,-0.191756,0.138989,5517,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203000,2067,887.050000,45.594163,-122.691551,-784.152984,660.870712,6,-8.000000,-39.000000,16.000000,0.000000,97.144157,157.409399,-0.075269,0.064982,5523,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203000,2067,887.075000,45.594167,-122.691564,-782.782742,657.582864,6,-8.000000,-39.000000,16.000000,0.000000,97.185431,157.409399,-0.161290,0.122744,5523,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203000,2067,887.100000,45.594170,-122.691577,-781.408839,654.294904,6,-8.000000,-39.000000,16.000000,0.000000,97.273875,157.409399,-0.127240,0.088448,5529,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79203000,2067,887.125000,45.594174,-122.691590,-780.038519,651.001937,6,-8.000000,-39.000000,16.000000,0.000000,97.343647,157.409399,-0.089606,0.001805,5541,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
